model,params,architecture,model_tag,requests,total_tokens,ttft_cold_ms,ttft_mean_ms,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,tpot_std_ms,itl_mean_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,itl_std_ms,itl_all_p50_ms,itl_all_p99_ms,itl_all_min_ms,itl_all_max_ms,throughput_mean,throughput_min,throughput_max,avg_output_tokens
DeepSeek-R1-32B,32B,Dense-Transformer-CoT,deepseek-r1:32b,5,1563,16277.06,26380.35,32283.31,36631.57,37.34,0.31,37.34,37.35,37.66,37.66,0.31,37.44,38.68,35.76,41.66,26.78,26.55,27.13,312.6
Gemma2-27B,27B,Dense-Transformer,gemma2:27b,5,1479,284.75,279.65,282.55,302.2,19.27,0.35,19.27,19.2,19.89,19.89,0.35,18.79,21.76,17.92,28.73,51.9,50.29,52.56,295.8
Qwen2.5-32B,32B,Dense-Transformer,qwen2.5:32b,5,1613,296.22,279.8,280.54,283.22,25.67,0.17,25.67,25.67,25.93,25.93,0.17,25.35,28.52,24.14,44.75,38.95,38.57,39.24,322.6
